Designator,Mid X,Mid Y,Rotation,Layer
C1,101.346,-101.854,0.0,top
C2,110.744,-120.756,180.0,top
D1,97.536,-112.776,180.0,top
D2,101.55,-131.572,90.0,top
D3,104.14,-131.572,90.0,top
D4,106.73,-131.572,90.0,top
J1,110.744,-90.683,180.0,top
J2,97.536,-90.683,180.0,top
J3,104.13,-143.281,270.0,top
Q2,110.744,-104.119,0.0,top
R1,94.8035,-99.06,180.0,top
R2,97.536,-117.348,180.0,top
R3,113.4765,-99.06,180.0,top
R4,110.744,-112.12,180.0,top
R5,110.744,-109.58,0.0,top
R6,101.6,-126.4665,270.0,top
R7,104.14,-126.4665,270.0,top
R8,106.68,-126.4665,270.0,top
U1,97.546,-106.695,0.0,top
U2,110.744,-117.962,180.0,top
